image_name,hands_found,left_hand_landmarks,cropped_hand
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,2,"[x: 0.17553398
y: 0.499446094
z: -1.90421e-007
, x: 0.22162652
y: 0.483542562
z: -0.0256929174
, x: 0.260633767
y: 0.460246921
z: -0.0403055
, x: 0.294252157
y: 0.439268321
z: -0.0522242077
, x: 0.323506236
y: 0.428767264
z: -0.0585810542
, x: 0.220661804
y: 0.415801674
z: -0.0243217647
, x: 0.224323332
y: 0.395172298
z: -0.0518637784
, x: 0.227976471
y: 0.4276326
z: -0.0608136021
, x: 0.229333192
y: 0.445680767
z: -0.0619709566
, x: 0.185825095
y: 0.417383641
z: -0.0220452249
, x: 0.193367854
y: 0.396120697
z: -0.0541926
, x: 0.202146664
y: 0.435845464
z: -0.0580143966
, x: 0.203462914
y: 0.450068891
z: -0.0533063337
, x: 0.153239891
y: 0.422602266
z: -0.0237406604
, x: 0.161667719
y: 0.403948277
z: -0.0535205267
, x: 0.173051074
y: 0.438934058
z: -0.0433925465
, x: 0.17282024
y: 0.450396866
z: -0.0285406895
, x: 0.122602157
y: 0.431478113
z: -0.0272906013
, x: 0.129363596
y: 0.412669569
z: -0.0427300669
, x: 0.142325431
y: 0.435427755
z: -0.0323118269
, x: 0.142562807
y: 0.444722742
z: -0.0197683219
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,1,"[x: 0.114333466
y: 0.493550122
z: -8.85283953e-008
, x: 0.148015767
y: 0.484605819
z: -0.0324331485
, x: 0.185934857
y: 0.461943269
z: -0.0461747609
, x: 0.22430864
y: 0.443652183
z: -0.0543046221
, x: 0.257854462
y: 0.438494086
z: -0.0563639589
, x: 0.165989771
y: 0.418458879
z: -0.020035129
, x: 0.144023359
y: 0.405802816
z: -0.0396434516
, x: 0.144063786
y: 0.428172171
z: -0.0480231456
, x: 0.158541992
y: 0.429273397
z: -0.0510072559
, x: 0.14058435
y: 0.417307317
z: -0.00941238
, x: 0.121592283
y: 0.406827062
z: -0.0272618588
, x: 0.123247385
y: 0.435305804
z: -0.0259322338
, x: 0.138973653
y: 0.431866437
z: -0.020261189
, x: 0.115472391
y: 0.415662438
z: -0.00384274195
, x: 0.100305676
y: 0.407994419
z: -0.0208806712
, x: 0.101788238
y: 0.432147533
z: -0.0121955452
, x: 0.116563186
y: 0.429702401
z: -0.00148183771
, x: 0.0914188772
y: 0.413976729
z: -0.00158253044
, x: 0.0815916657
y: 0.406176
z: -0.00727115059
, x: 0.0828110799
y: 0.421369731
z: 0.000671204936
, x: 0.0914472863
y: 0.424290776
z: 0.00977481
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,1,"[x: 0.167357504
y: 0.418017954
z: -1.87103424e-007
, x: 0.201146126
y: 0.419797808
z: -0.0276176594
, x: 0.235572442
y: 0.402222931
z: -0.0401810221
, x: 0.264943689
y: 0.384357274
z: -0.0501185656
, x: 0.293021441
y: 0.376713187
z: -0.0573645756
, x: 0.218301713
y: 0.367678374
z: -0.0189594515
, x: 0.217205241
y: 0.341959924
z: -0.0390460715
, x: 0.204028815
y: 0.360218763
z: -0.045623526
, x: 0.195663944
y: 0.37931788
z: -0.0451613069
, x: 0.192394242
y: 0.365776032
z: -0.0115897255
, x: 0.187509656
y: 0.347241282
z: -0.0367135406
, x: 0.178615808
y: 0.377030373
z: -0.0398375653
, x: 0.179712236
y: 0.395333052
z: -0.03430105
, x: 0.168364912
y: 0.365133852
z: -0.00869876612
, x: 0.166106805
y: 0.349146545
z: -0.0328303613
, x: 0.161887079
y: 0.375855088
z: -0.0289328042
, x: 0.164799795
y: 0.393515497
z: -0.0185040403
, x: 0.14747721
y: 0.367090106
z: -0.00791351
, x: 0.143660724
y: 0.348936051
z: -0.0223241281
, x: 0.143204436
y: 0.363706082
z: -0.0191252865
, x: 0.147935823
y: 0.375761569
z: -0.0117507689
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,1,"[x: 0.144392982
y: 0.466975212
z: -4.4239e-007
, x: 0.195325106
y: 0.455082744
z: -0.0272813551
, x: 0.239214361
y: 0.424336135
z: -0.0407587
, x: 0.269196928
y: 0.396754235
z: -0.0518950708
, x: 0.2983751
y: 0.384467185
z: -0.0591559522
, x: 0.201397389
y: 0.387372404
z: -0.0251705889
, x: 0.193808347
y: 0.371064663
z: -0.0553311296
, x: 0.18340081
y: 0.404811412
z: -0.0668783
, x: 0.183523476
y: 0.423628211
z: -0.0694122091
, x: 0.164700955
y: 0.385842919
z: -0.0215978343
, x: 0.161234885
y: 0.366841167
z: -0.0576369166
, x: 0.156641021
y: 0.406928122
z: -0.0609397627
, x: 0.160823941
y: 0.424592108
z: -0.0542691536
, x: 0.131669715
y: 0.387758821
z: -0.0223644394
, x: 0.12772876
y: 0.369731545
z: -0.0572041683
, x: 0.129757658
y: 0.40818724
z: -0.0474397801
, x: 0.136357501
y: 0.424681216
z: -0.030992521
, x: 0.100428119
y: 0.393414408
z: -0.0249632094
, x: 0.0981872305
y: 0.376472771
z: -0.0448894873
, x: 0.104562089
y: 0.404848635
z: -0.0361951478
, x: 0.113106
y: 0.41871056
z: -0.0236682557
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,2,"[x: 0.195245638
y: 0.492094696
z: -2.56167311e-007
, x: 0.232585788
y: 0.484407783
z: -0.0154765854
, x: 0.268522888
y: 0.47069782
z: -0.0234230943
, x: 0.303063065
y: 0.463575333
z: -0.0296279564
, x: 0.329982132
y: 0.465246797
z: -0.0317002274
, x: 0.252794832
y: 0.44023174
z: -0.0126621602
, x: 0.264523834
y: 0.432981491
z: -0.0318061709
, x: 0.250341
y: 0.453467906
z: -0.0408838391
, x: 0.245763123
y: 0.457941294
z: -0.0452369824
, x: 0.230914101
y: 0.436221242
z: -0.0120898075
, x: 0.24516198
y: 0.426701277
z: -0.0317912884
, x: 0.232883632
y: 0.450924486
z: -0.0351114124
, x: 0.229754493
y: 0.453147292
z: -0.0345086306
, x: 0.208163589
y: 0.433921546
z: -0.0142151192
, x: 0.222646713
y: 0.423720151
z: -0.0318092965
, x: 0.215774029
y: 0.447067142
z: -0.0259969365
, x: 0.212018698
y: 0.449390858
z: -0.0187571421
, x: 0.186077282
y: 0.433919132
z: -0.017724758
, x: 0.199764088
y: 0.426641047
z: -0.0239455402
, x: 0.199385107
y: 0.44230926
z: -0.0161358137
, x: 0.194627807
y: 0.445354491
z: -0.00897308066
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,2,"[x: 0.124257386
y: 0.464873254
z: -3.86561481e-007
, x: 0.169631407
y: 0.459048837
z: -0.0267442577
, x: 0.216099173
y: 0.441017509
z: -0.0412284173
, x: 0.254849046
y: 0.425212383
z: -0.053444922
, x: 0.287411183
y: 0.414333791
z: -0.0637486801
, x: 0.19924888
y: 0.393753439
z: -0.021136174
, x: 0.177383587
y: 0.385747105
z: -0.046495229
, x: 0.160951212
y: 0.409825742
z: -0.0619506836
, x: 0.155235291
y: 0.428908437
z: -0.0678983331
, x: 0.167941868
y: 0.385666698
z: -0.0160946026
, x: 0.144352779
y: 0.381970167
z: -0.0430138521
, x: 0.135586351
y: 0.41307357
z: -0.0511095226
, x: 0.13616094
y: 0.433569849
z: -0.0502254479
, x: 0.137275368
y: 0.383096188
z: -0.0150509672
, x: 0.116948031
y: 0.379244477
z: -0.041388914
, x: 0.114119865
y: 0.410264373
z: -0.0404160619
, x: 0.119004652
y: 0.430268
z: -0.0318118446
, x: 0.108033657
y: 0.38424
z: -0.0161592048
, x: 0.0953503698
y: 0.373774946
z: -0.0332471095
, x: 0.0949894264
y: 0.396149784
z: -0.0301806
, x: 0.100036293
y: 0.412243158
z: -0.0217287634
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,1,"[x: 0.180299073
y: 0.495722979
z: -1.99212707e-007
, x: 0.214236304
y: 0.480159909
z: -0.0150475148
, x: 0.238844529
y: 0.458150089
z: -0.0221605338
, x: 0.256758153
y: 0.435701072
z: -0.0295664277
, x: 0.278799683
y: 0.422881
z: -0.0335325077
, x: 0.213258684
y: 0.430820495
z: -0.00462236162
, x: 0.214688718
y: 0.411683798
z: -0.0239998549
, x: 0.211984411
y: 0.432068825
z: -0.0300401822
, x: 0.21135354
y: 0.448741734
z: -0.028515039
, x: 0.189008802
y: 0.430292875
z: -0.00336747
, x: 0.192394823
y: 0.413782299
z: -0.0240995921
, x: 0.191549644
y: 0.443460166
z: -0.0252189245
, x: 0.192765534
y: 0.456267834
z: -0.0188560728
, x: 0.163569927
y: 0.4325037
z: -0.00610932615
, x: 0.166035235
y: 0.413282543
z: -0.027132012
, x: 0.16976738
y: 0.439043015
z: -0.0215392355
, x: 0.172256008
y: 0.452750266
z: -0.00998331886
, x: 0.137552544
y: 0.43694219
z: -0.00998122804
, x: 0.128994957
y: 0.412191
z: -0.02026386
, x: 0.137179419
y: 0.417074
z: -0.0155105181
, x: 0.145975962
y: 0.421717256
z: -0.00718531571
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,1,"[x: 0.186156705
y: 0.47325778
z: -4.32541498e-007
, x: 0.220372856
y: 0.457429379
z: -0.0167823751
, x: 0.240549833
y: 0.421338797
z: -0.0224301945
, x: 0.259358823
y: 0.392350137
z: -0.0279625207
, x: 0.289329469
y: 0.382848054
z: -0.0280365832
, x: 0.212407902
y: 0.394575119
z: -0.0040323385
, x: 0.206125706
y: 0.374128819
z: -0.0234207138
, x: 0.208126
y: 0.402141243
z: -0.0290266853
, x: 0.211186051
y: 0.407298952
z: -0.0305919908
, x: 0.188471988
y: 0.395695955
z: -0.00332456431
, x: 0.18394883
y: 0.379425108
z: -0.023672482
, x: 0.190695077
y: 0.412794501
z: -0.0208
, x: 0.194779724
y: 0.409615219
z: -0.0136194834
, x: 0.165344864
y: 0.397920251
z: -0.00722068176
, x: 0.159710571
y: 0.381166846
z: -0.0276361108
, x: 0.169161305
y: 0.411429048
z: -0.0156776588
, x: 0.174180031
y: 0.410090357
z: -0.00238355366
, x: 0.142970413
y: 0.400204659
z: -0.0132164769
, x: 0.138860598
y: 0.3861323
z: -0.0208016243
, x: 0.147259742
y: 0.40583384
z: -0.0100754611
, x: 0.153275847
y: 0.409855217
z: 0.000386618
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,1,"[x: 0.174008295
y: 0.574639499
z: -1.60064886e-007
, x: 0.216278717
y: 0.561956763
z: -0.0125795919
, x: 0.242899835
y: 0.538993716
z: -0.0151599627
, x: 0.264679879
y: 0.5139606
z: -0.0169999395
, x: 0.281983703
y: 0.499042869
z: -0.0142832743
, x: 0.214817792
y: 0.500634789
z: 0.0060204179
, x: 0.215191171
y: 0.477264136
z: -0.00593743846
, x: 0.215050027
y: 0.497974068
z: -0.0119947549
, x: 0.213733971
y: 0.509704888
z: -0.0136259031
, x: 0.188915506
y: 0.497453362
z: 0.00871527754
, x: 0.191378504
y: 0.473376334
z: -0.00449431315
, x: 0.195193365
y: 0.501179814
z: -0.00665358035
, x: 0.19472684
y: 0.510852396
z: -0.00392352
, x: 0.163155764
y: 0.50013864
z: 0.00833988376
, x: 0.165504515
y: 0.474589437
z: -0.00387601298
, x: 0.172138855
y: 0.498636901
z: 0.00398762
, x: 0.173817754
y: 0.510655
z: 0.0137656815
, x: 0.141027868
y: 0.507834852
z: 0.00672301091
, x: 0.141227141
y: 0.484032184
z: 0.000999706
, x: 0.152409151
y: 0.497775912
z: 0.00909676868
, x: 0.157590806
y: 0.507303536
z: 0.0183022637
]",Left
<_io.TextIOWrapper name='hand_crop_info.csv' mode='a' encoding='cp1252'>,1,"[x: 0.111329094
y: 0.579720199
z: -2.95068901e-007
, x: 0.154128641
y: 0.571670592
z: -0.0235827044
, x: 0.18808572
y: 0.550299346
z: -0.0344808884
, x: 0.211777568
y: 0.52451086
z: -0.0419592299
, x: 0.238270193
y: 0.510945201
z: -0.0440557636
, x: 0.167180598
y: 0.514064133
z: -0.0198769867
, x: 0.145612523
y: 0.496334106
z: -0.042770084
, x: 0.145306394
y: 0.522698164
z: -0.0501023792
, x: 0.155008569
y: 0.530256569
z: -0.0515602455
, x: 0.137425065
y: 0.514013052
z: -0.0145258941
, x: 0.120206617
y: 0.498378515
z: -0.0353108644
, x: 0.123971313
y: 0.529572129
z: -0.0315262713
, x: 0.137170404
y: 0.53072834
z: -0.0240482539
, x: 0.110410243
y: 0.515349388
z: -0.0136376219
, x: 0.0973161831
y: 0.498516411
z: -0.0339806452
, x: 0.101517335
y: 0.527895331
z: -0.0209953245
, x: 0.115826488
y: 0.531968474
z: -0.00735210814
, x: 0.0879801959
y: 0.520026922
z: -0.0151506094
, x: 0.0777834281
y: 0.508017838
z: -0.0261871871
, x: 0.0831223875
y: 0.529164493
z: -0.0176737364
, x: 0.0952932239
y: 0.536137938
z: -0.00776409451
]",Left
