epoch,step,test_acc,train_acc,train_loss,val_acc,val_loss
0,8,,,,0.07500000298023224,124.30987548828125
0,8,,0.03159851208329201,,,
1,17,,,,0.11249999701976776,7.916511535644531
1,17,,0.06133829057216644,,,
2,26,,,,0.09375,4.110265254974365
2,26,,0.0836431235074997,,,
3,35,,,,0.11874999850988388,3.99188494682312
3,35,,0.10966543108224869,,,
4,44,,,,0.11249999701976776,3.447009325027466
4,44,,0.1728624552488327,,,
5,49,,,2.68928861618042,,
5,53,,,,0.21250000596046448,3.258014678955078
5,53,,0.23977695405483246,,,
6,62,,,,0.19374999403953552,3.1489739418029785
6,62,,0.25278809666633606,,,
7,71,,,,0.23749999701976776,2.77502703666687
7,71,,0.3252788186073303,,,
8,80,,,,0.2750000059604645,2.7909786701202393
8,80,,0.45724907517433167,,,
9,89,,,,0.26875001192092896,2.602872371673584
9,89,,0.49628251791000366,,,
10,98,,,,0.21875,2.714871644973755
10,98,,0.5148698687553406,,,
11,99,,,1.495989441871643,,
11,107,,,,0.24375000596046448,2.842164993286133
11,107,,0.5501858592033386,,,
12,116,,,,0.28125,2.885409116744995
12,116,,0.6468401551246643,,,
13,125,,,,0.2750000059604645,3.005711555480957
13,125,,0.6152416467666626,,,
14,134,,,,0.23749999701976776,2.9891178607940674
14,134,,0.6040892004966736,,,
15,135,0.3076923191547394,,,,
